ID,V1,V2,V3,QnWeight_initial,PC1_cov,Prop_Qn_Weight_Loss,Survived_eclosion,Days_wrkr_eclosion_minus20,Cmass_eclosion,Survived_e_6wks,Cmass_6wks,Prop_gr_1_2
1,0,1,0,15.8,0.032140423,NA,0,NA,NA,NA,NA,NA
2,0,0,0,16.5,0.017620319,0.503030303,1,1,11.7,1,57.1,4.88034188
3,0,0,0,11.9,NA,0.596638655,1,2,7.3,NA,45,6.164383562
4,0,0,0,13.7,-0.093448167,NA,0,NA,NA,NA,NA,NA
5,0,0,0,12.9,0.043842677,0.565891473,1,6,5.3,NA,NA,NA
6,0,0,0,15.5,-0.089198322,NA,0,NA,NA,NA,NA,NA
7,0,0,0,15,-0.051090375,0.446666667,1,3,9.1,1,73.6,8.087912088
8,0,0,0,11.9,-0.04364307,0.445378151,1,2,8.5,NA,NA,NA
9,0,0,0,15.3,0.001188913,0.509803922,1,0,11.1,NA,NA,NA
10,0,0,0,13.7,NA,0.408759124,1,2,9.6,NA,NA,NA
11,0,0,0,15.3,NA,NA,0,NA,NA,NA,NA,NA
12,0,0,0,15.8,-0.144868599,0.462025316,1,0,11.2,NA,NA,NA
13,0,0,0,16.3,-0.000260992,0.552147239,1,1,9,1,43.8,4.866666667
14,0,0,0,15.9,0.008502255,0.509433962,1,0,11.2,NA,NA,NA
15,0,0,0,15.1,-0.00346349,0.456953642,1,0,12,NA,NA,NA
16,0,0,0,14.5,0.017208373,0.455172414,1,0,11,1,71.1,6.463636364
17,0,0,0,14.4,0.004301855,0.506944444,1,1,10.9,NA,NA,NA
18,0,0,0,15.7,0.004420431,NA,1,NA,NA,NA,NA,NA
19,0,0,0,15.4,-0.029429977,NA,0,NA,NA,NA,NA,NA
20,0,0,0,14.4,-0.007564124,0.486111111,1,0,9.9,1,53.7,5.424242424
21,0,0,0,13.3,NA,0.473684211,1,7,8.6,0,NA,NA
22,0,0,0,14.8,0.174388101,0.513513514,1,1,10.8,1,84.4,7.814814815
23,0,0,0,15.1,-0.142412328,0.516556291,1,0,10.9,NA,NA,NA
24,0,0,0,15.1,0.064935852,0.582781457,1,1,8.7,NA,NA,NA
25,0,1,0,14.7,-0.052174354,0.537414966,1,0,10.8,NA,NA,NA
26,1,1,0,11.2,-0.040909634,NA,0,NA,NA,NA,NA,NA
27,0,0,0,15.8,NA,0.474683544,1,1,11.6,1,56,4.827586207
28,0,0,0,17.8,0.005180317,0.43258427,1,2,13.7,1,56.1,4.094890511
29,0,0,0,16.4,0.05728222,0.432926829,1,2,10.8,NA,NA,NA
30,0,0,0,16.6,0.020858634,NA,0,NA,NA,NA,NA,NA
31,0,0,0,13.4,0.041215822,NA,0,NA,NA,NA,NA,NA
32,0,0,0,10.8,NA,NA,1,NA,NA,NA,NA,NA
33,0,1,0,15.1,0.012445955,NA,0,NA,NA,NA,NA,NA
34,0,0,0,15.1,-0.002449455,0.569536424,1,2,9.3,1,59.4,6.387096774
35,0,0,0,15.7,NA,NA,0,NA,NA,NA,NA,NA
