Allele Report,,,,,,,,,,,,,,,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 2.4.0,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time: 4/23/2012 7:46:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Project: C:\Users\jpwlab\Desktop\Mark Fisher temp\Mark Fisher\New msat scoring\My spectra\Inj 2 sets 78\sets78_inj2.SGF,,,,,,,,,,,,,,,,,,,,,,,,,
Panel: Solenopsis_inj2_PigTail,,,,,,,,,,,,,,,,,,,,,,,,,
Size: Liz600 ICBR,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Report Style: Marker Table,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,C147,,Sol-20,,i-130,,,C487_PigTail,,Sol-42f,,C316,,i-136,,C204,,C536,,C27,,,i-120_PigTail,
1,467__Inj_2_Set_7_Maf_A01.fsa,67,73,107,131,218,218,,320,320,118,118,207,234,63,65,163,171,93,103,211,211,,314,318
2,468__Inj_2_Set_7_Maf_A02.fsa,67,73,105,105,218,218,,320,328,116,128,205,207,63,63,163,204,103,107,211,211,,314,320
3,469__SHOEM_SET7_MAF_INJ2_REDO_A03_G09.fsa,67,67,105,123,218,218,,320,320,114,116,207,207,63,65,167,171,**,**,211,211,,318,318
4,470__Inj_2_Set_7_Maf_A04.fsa,67,69,105,105,218,218,,**,**,116,116,205,207,63,63,167,171,87,99,211,211,,318,318
5,471__Inj_2_Set_7_Maf_A05.fsa,67,67,103,105,218,218,,320,328,114,118,207,234,63,63,171,171,87,93,211,211,,314,318
6,472__Inj_2_Set_7_Maf_A06.fsa,67,73,131,131,218,218,,320,320,114,128,207,207,63,63,171,171,87,93,211,211,,314,324
7,473__Inj_2_Set_7_Maf_A07.fsa,67,67,103,105,220,220,,320,320,114,118,207,234,63,65,171,171,87,107,211,,,**,**
8,474__Inj_2_Set_7_Maf_A08.fsa,67,67,105,105,218,218,,320,320,114,118,207,207,63,65,171,171,**,**,211,213,,318,328
9,475__Inj_2_Set_7_Maf_A09.fsa,67,67,105,123,218,218,,320,322,114,118,207,207,63,63,163,171,105,107,211,213,,318,318
10,476__Inj_2_Set_7_Maf_A10.fsa,67,73,105,131,218,218,,320,328,116,116,207,207,63,63,163,171,99,103,207,211,,318,326
11,477__Inj_2_Set_7_Maf_A11.fsa,67,73,103,105,218,218,,322,322,114,140,207,207,63,63,171,171,93,107,**,**,,314,318
12,478__Inj_2_Set_7_Maf_A12.fsa,67,67,103,123,218,218,,320,328,114,128,207,207,65,65,163,171,87,93,211,211,,318,330
13,479__SHOEM_SET7_MAF_INJ2_REDO_B01_H09.fsa,67,67,115,123,218,218,,326,328,114,128,205,234,63,63,171,171,101,103,211,211,,318,318
14,480__Inj_2_Set_7_Maf_B02.fsa,69,73,105,105,**,**,,**,**,114,116,207,234,63,63,171,171,95,95,203,211,,**,**
15,481__Inj_2_Set_7_Maf_B03.fsa,73,73,105,123,**,**,,**,**,114,128,207,207,63,63,171,171,95,107,**,**,,**,**
16,482__Inj_2_Set_7_Maf_B04.fsa,67,73,105,109,218,218,,320,320,114,116,207,234,63,63,163,171,95,99,207,211,,318,330
17,483__Inj_2_Set_7_Maf_B05.fsa,67,67,103,107,218,218,,320,328,114,116,207,234,63,65,171,173,87,107,211,213,,314,318
18,484__Inj_2_Set_7_Maf_B06.fsa,73,73,105,131,218,218,,**,**,114,118,205,207,**,**,171,171,87,107,**,**,,**,**
19,485__Inj_2_Set_7_Maf_B07.fsa,67,67,105,123,218,234,,320,322,114,116,207,234,65,65,171,171,87,93,207,211,213,318,318
20,486__Inj_2_Set_7_Maf_B08.fsa,67,73,105,123,218,218,,320,320,114,128,207,207,**,**,163,171,93,93,207,211,,**,**
21,487__Inj_2_Set_7_Maf_B09.fsa,73,73,105,105,218,218,,320,320,116,128,207,207,63,63,171,171,93,99,207,211,,318,318
22,488__Inj_2_Set_7_Maf_B10.fsa,67,73,105,105,218,218,,320,320,114,118,207,207,63,63,171,171,93,103,211,211,,318,320
23,489__Inj_2_Set_7_Maf_B11.fsa,73,73,103,107,218,218,,320,322,116,116,207,207,63,65,163,163,87,99,211,213,,314,318
24,490__Inj_2_Set_7_Maf_B12.fsa,67,73,105,105,218,218,,320,320,114,128,207,234,63,65,171,171,95,99,211,213,,318,330
25,491__Inj_2_Set_7_Maf_C01.fsa,73,73,105,131,218,218,,320,320,118,128,207,234,63,65,163,171,87,101,211,211,,314,320
26,492__Inj_2_Set_7_Maf_C02.fsa,67,73,105,131,218,218,,320,320,114,114,207,234,63,63,171,202,87,99,211,211,,318,318
27,493__Inj_2_Set_7_Maf_C03.fsa,67,67,105,105,218,218,,320,328,114,140,205,234,63,63,163,171,87,99,207,207,,318,318
28,494__Inj_2_Set_7_Maf_C04.fsa,67,67,**,**,218,,,320,320,114,116,207,207,63,65,167,171,87,99,211,211,,314,318
29,495__Inj_2_Set_7_Maf_C05.fsa,69,73,105,107,218,218,,320,328,128,128,207,234,63,65,171,171,95,103,211,211,,314,318
30,496__Inj_2_Set_7_Maf_C06.fsa,67,67,105,107,218,218,,320,320,114,128,207,207,63,65,163,171,93,93,207,211,,314,314
31,497__Inj_2_Set_7_Maf_C07.fsa,67,67,105,105,218,218,,320,320,114,118,207,207,63,65,163,171,87,103,207,207,,314,318
32,498__Inj_2_Set_7_Maf_C08.fsa,67,73,103,105,218,218,,320,326,**,**,205,207,63,65,171,171,93,103,211,213,,318,318
33,499__Inj_2_Set_7_Maf_C09.fsa,67,67,105,105,218,218,,320,328,116,116,205,207,63,65,171,171,107,107,207,213,,318,318
34,500__Inj_2_Set_7_Maf_C10.fsa,67,69,103,103,218,218,,320,320,118,128,207,207,63,65,163,171,93,103,211,211,,314,320
35,501__Inj_2_Set_7_Maf_C11.fsa,73,73,103,103,**,**,,**,**,114,114,207,207,63,65,171,204,87,103,**,**,,**,**
36,502__Inj_2_Set_7_Maf_C12.fsa,67,67,105,107,218,218,,**,**,**,**,205,207,63,65,167,171,103,107,211,211,,314,318
37,503__Inj_2_Set_7_Maf_D01.fsa,67,67,105,131,218,218,,320,320,116,116,207,234,63,65,163,163,99,107,211,213,,318,318
38,504__Inj_2_Set_7_Maf_D02.fsa,**,**,**,**,**,**,,321,321,**,**,**,**,**,**,**,**,**,**,**,**,,**,**
39,505__Inj_2_Set_7_Maf_D03.fsa,67,73,105,107,218,218,,320,326,114,140,207,234,63,63,171,171,93,103,211,211,,318,318
40,506__Inj_2_Set_7_Maf_D04.fsa,73,73,105,105,218,218,,320,320,114,116,205,207,63,63,171,171,93,103,207,213,,**,**
41,507__Inj_2_Set_7_Maf_D05.fsa,67,73,107,131,218,218,,320,320,118,122,205,207,63,65,171,171,87,107,211,211,,314,318
42,508__Inj_2_Set_7_Maf_D06.fsa,67,67,103,105,218,218,,320,320,114,116,205,234,63,63,163,163,**,**,207,211,,314,314
43,509__Inj_2_Set_7_Maf_D07.fsa,67,73,103,105,**,**,,320,320,114,114,205,207,63,63,167,167,87,103,211,211,,**,**
44,510__Inj_2_Set_7_Maf_D08.fsa,67,67,105,107,**,**,,320,320,114,128,207,234,63,63,171,171,93,107,207,211,,**,**
45,511__Inj_2_Set_7_Maf_D09.fsa,67,67,105,107,**,**,,320,320,114,128,207,234,63,63,163,171,99,107,213,,,**,**
46,512__Inj_2_Set_7_Maf_D10.fsa,67,73,105,123,218,218,,320,320,114,118,205,207,63,63,171,171,87,87,205,211,,318,318
47,513__Inj_2_Set_7_Maf_D11.fsa,67,73,103,105,**,**,,320,320,114,128,207,207,63,65,171,171,99,107,207,211,,314,318
48,514__Inj_2_Set_7_Maf_D12.fsa,73,73,105,107,**,**,,**,**,114,128,205,207,63,63,171,171,87,93,207,211,,314,318
49,515__Inj_2_Set_7_Maf_E01.fsa,67,73,107,131,218,218,,320,320,114,116,205,207,63,63,163,171,93,103,**,**,,**,**
50,516__Inj_2_Set_7_Maf_E02.fsa,67,73,105,105,**,**,,320,322,114,114,207,234,63,65,167,171,93,107,211,213,,318,318
51,517__Inj_2_Set_7_Maf_E03.fsa,73,73,105,107,**,**,,**,**,118,118,207,234,63,65,163,163,87,107,207,211,,318,326
52,518__Inj_2_Set_7_Maf_E04.fsa,67,73,105,123,218,218,,320,322,114,118,205,234,63,65,163,171,93,107,211,,,318,326
53,519__Inj_2_Set_7_Maf_E05.fsa,67,73,105,131,**,**,,328,328,116,118,207,207,63,63,171,171,87,93,211,211,,314,318
54,520__Inj_2_Set_7_Maf_E06.fsa,67,69,105,105,OL,218,,320,320,116,118,207,207,63,65,167,171,87,93,207,211,,314,318
55,521__Inj_2_Set_7_Maf_E07.fsa,67,67,105,121,OL,218,,320,328,116,140,207,234,63,63,167,171,87,107,211,211,,314,328
56,522__Inj_2_Set_7_Maf_E08.fsa,67,67,105,107,OL,218,,320,326,114,116,207,207,63,65,163,171,95,103,207,211,,318,318
57,523__Inj_2_Set_7_Maf_E09.fsa,67,73,105,105,OL,218,,322,322,114,128,207,207,63,63,171,171,93,99,207,211,,314,318
58,524__Inj_2_Set_7_Maf_E10.fsa,73,73,107,123,OL,218,,320,320,114,116,207,207,63,65,167,171,93,103,211,211,,318,326
59,525__Inj_2_Set_7_Maf_E11.fsa,73,73,105,123,205,OL,218,320,322,114,128,205,207,63,63,171,204,87,87,211,211,,318,328
60,526__Inj_2_Set_7_Maf_E12.fsa,67,73,105,107,218,218,,320,320,114,116,207,207,63,63,163,163,93,107,211,211,,314,318
61,527__Inj_2_Set_7_Maf_F01.fsa,67,73,105,105,218,218,,320,320,114,128,207,207,63,63,171,171,87,95,211,213,,314,328
62,528__Inj_2_Set_7_Maf_F02.fsa,67,73,105,105,218,218,,320,320,114,128,205,207,63,63,171,171,95,95,211,213,,320,328
63,529__Inj_2_Set_7_Maf_F03.fsa,67,67,105,107,OL,218,,320,320,118,118,207,234,65,65,171,171,87,107,207,211,,318,318
64,530__Inj_2_Set_7_Maf_F04.fsa,67,67,105,133,205,218,,320,328,114,128,205,205,63,63,171,171,93,107,211,213,,320,326
65,531__Inj_2_Set_7_Maf_F05.fsa,73,73,131,131,OL,218,,328,328,116,118,207,234,63,65,171,204,95,107,211,211,,318,326
66,532__Inj_2_Set_7_Maf_F06.fsa,67,67,105,105,**,**,,**,**,118,118,207,234,65,65,163,171,93,99,**,**,,318,318
67,533__Inj_2_Set_7_Maf_F07.fsa,67,67,105,131,OL,218,,320,322,114,128,207,207,63,65,163,171,93,93,211,213,,314,318
68,534__Inj_2_Set_7_Maf_F08.fsa,67,67,105,123,**,**,,320,320,114,114,207,207,63,65,171,171,87,93,207,211,,**,**
69,535__Inj_2_Set_7_Maf_F09.fsa,67,67,103,131,**,**,,**,**,114,114,207,234,**,**,**,**,87,103,**,**,,314,314
70,536__Inj_2_Set_7_Maf_F10.fsa,69,73,105,105,**,**,,320,320,118,128,207,207,63,63,171,171,93,107,207,211,,318,326
71,537__Inj_2_Set_7_Maf_F11.fsa,67,67,103,107,**,**,,320,320,116,118,207,234,63,63,171,171,101,107,211,211,,**,**
72,538__Inj_2_Set_7_Maf_F12.fsa,67,73,105,105,**,**,,320,320,114,116,205,207,63,63,171,204,95,107,211,213,,314,318
73,539__Inj_2_Set_7_Maf_G01.fsa,67,73,105,105,218,218,,320,322,114,116,207,234,63,63,163,171,93,107,211,211,,318,318
74,540__Inj_2_Set_7_Maf_G02.fsa,67,67,105,123,OL,218,,320,326,114,128,207,207,63,63,163,171,93,107,207,211,,320,328
75,541__Inj_2_Set_7_Maf_G03.fsa,67,67,123,131,218,218,,320,328,114,140,234,234,63,63,163,167,107,107,211,211,,314,318
76,542__Inj_2_Set_7_Maf_G04.fsa,73,73,103,105,**,**,,320,328,114,116,207,207,63,65,171,171,95,95,207,211,,318,330
77,543__SHOEM_SET7_MAF_INJ2_REDO_G05_A10.fsa,73,73,103,123,OL,,,320,322,114,116,207,207,63,63,171,171,93,95,207,211,,314,320
78,544__Inj_2_Set_7_Maf_G06.fsa,67,73,105,131,218,218,,320,320,116,128,207,234,63,63,171,171,93,95,211,213,,318,318
79,545__Inj_2_Set_7_Maf_G07.fsa,67,67,105,123,**,**,,320,320,114,116,207,234,63,63,171,171,93,93,211,213,,318,320
80,546__Inj_2_Set_7_Maf_G08.fsa,67,67,103,109,205,OL,218,320,322,114,116,205,213,63,65,167,171,93,99,211,213,,314,320
81,547__Inj_2_Set_7_Maf_G09.fsa,67,73,103,123,218,218,,320,320,118,118,205,207,63,63,163,163,87,93,211,211,,318,320
82,548__Inj_2_Set_7_Maf_G10.fsa,67,67,103,105,218,218,,320,328,114,118,207,207,63,63,171,171,95,99,211,211,,318,326
83,549__Inj_2_Set_7_Maf_G11.fsa,67,73,105,123,**,**,,322,328,114,114,205,207,63,65,163,171,99,107,207,211,,318,318
84,550__Inj_2_Set_7_Maf_G12.fsa,67,67,105,105,218,218,,320,328,114,116,207,234,65,65,163,171,99,107,211,211,,318,328
85,551__Inj_2_Set_7_Maf_H01.fsa,67,73,107,131,205,218,,320,322,114,118,205,207,63,65,171,171,103,107,205,211,,314,318
86,552__Inj_2_Set_7_Maf_H02.fsa,67,73,105,105,205,218,,320,320,114,128,205,234,63,63,171,171,87,95,205,211,,318,328
87,553__Inj_2_Set_7_Maf_H03.fsa,**,**,**,**,**,**,,**,**,**,**,**,**,**,**,**,**,**,**,**,**,,**,**
88,554__Inj_2_Set_7_Maf_H04.fsa,**,**,**,**,**,**,,**,**,**,**,**,**,**,**,**,**,**,**,**,**,,**,**
89,555__Inj_2_Set_7_Maf_H05.fsa,67,69,107,123,218,218,,320,320,114,128,205,207,63,65,167,171,99,103,205,211,,314,330
90,556__Inj_2_Set_7_Maf_H06.fsa,67,73,105,105,**,**,,320,320,114,128,205,238,63,63,171,171,87,99,**,**,,**,**
91,557__Inj_2_Set_7_Maf_H07.fsa,67,67,105,131,**,**,,320,322,114,128,207,250,65,65,167,171,87,87,211,213,,318,318
92,558__Inj_2_Set_7_Maf_H08.fsa,67,73,105,105,**,**,,320,328,116,118,207,234,63,63,171,171,**,**,211,211,,318,326
93,559__Inj_2_Set_7_Maf_H09.fsa,67,67,103,105,**,**,,**,**,**,**,**,**,63,63,**,**,101,107,**,**,,**,**
94,560__Inj_2_Set_7_Maf_H10.fsa,73,73,103,123,218,218,,320,320,114,116,207,234,63,65,163,171,95,99,211,211,,314,328
95,561__Inj_2_Set_7_Maf_H11.fsa,67,67,105,131,**,**,,320,320,114,116,207,207,63,65,163,167,87,113,211,213,,314,318
96,562__Inj_2_Set_7_Maf_H12.fsa,67,67,103,107,**,**,,320,320,112,114,205,207,63,63,171,171,87,93,205,211,,318,320
97,563__Inj_2_Set_8_Maf_A01.fsa,73,73,105,123,**,**,,**,**,118,118,205,234,63,65,171,171,103,103,**,**,,318,318
98,564__Inj_2_Set_8_Maf_A02.fsa,67,67,103,131,218,218,,320,320,114,128,207,234,63,65,171,171,87,87,211,211,,318,318
99,565__Inj_2_Set_8_Maf_A03.fsa,67,73,105,105,**,**,,320,320,114,128,205,234,63,63,163,171,87,95,211,211,,318,318
100,566__Inj_2_Set_8_Maf_A04.fsa,67,67,105,131,**,**,,**,**,114,140,**,**,63,65,163,167,87,95,**,**,,314,314
101,567__Inj_2_Set_8_Maf_A05.fsa,67,73,105,123,**,**,,**,**,114,114,207,207,63,65,163,171,87,93,**,**,,318,318
102,568__Inj_2_Set_8_Maf_A06.fsa,67,67,105,131,**,**,,320,328,128,128,207,207,63,63,163,171,87,95,**,**,,314,318
103,569__Inj_2_Set_8_Maf_A07.fsa,73,73,105,105,218,218,,320,320,114,128,207,207,63,65,171,171,87,107,211,213,,314,318
104,570__Inj_2_Set_8_Maf_A08.fsa,67,73,103,105,218,218,,320,322,114,114,207,207,63,63,171,171,**,**,211,211,,318,320
105,571__Inj_2_Set_8_Maf_A09.fsa,73,73,105,105,**,**,,320,320,116,128,**,**,63,63,163,171,93,107,207,211,,318,320
106,572__Inj_2_Set_8_Maf_A10.fsa,69,73,105,123,**,**,,320,320,114,128,234,234,63,65,171,171,87,103,**,**,,318,318
107,573__Inj_2_Set_8_Maf_A11.fsa,67,73,105,107,218,218,,320,320,114,140,207,207,63,65,163,171,93,99,211,211,,314,314
108,574__Inj_2_Set_8_Maf_A12.fsa,**,**,103,105,218,218,,320,320,114,116,205,207,63,65,163,171,93,107,211,211,,318,318
109,575__Inj_2_Set_8_Maf_B01.fsa,67,67,105,123,218,218,,322,328,114,114,207,234,63,65,163,167,93,107,207,213,,318,320
110,576__Inj_2_Set_8_Maf_B02.fsa,67,73,105,105,**,**,,**,**,128,140,207,207,63,65,171,171,87,99,**,**,,**,**
111,577__Inj_2_Set_8_Maf_B03.fsa,67,67,105,105,218,218,,320,322,116,140,207,234,63,65,171,171,93,103,211,211,,318,330
