"","i","j","pearson_corr","spearman_corr","pearson_p","pearson_p_adjusted","spearman_p","spearman_p_adjusted"
"1","ID","QnWeight_initial",-0.0420731088738776,-0.0222092927840955,0.330488633543323,0.517557671398034,0.607583580624884,0.836175375239856
"2","ID","PC1_cov",-0.0999351692688454,-0.130099039850226,0.0436484484855282,0.116865200783834,0.00855193156910948,0.0322641054652767
"3","QnWeight_initial","PC1_cov",0.130983585720995,0.111179940516674,0.00807199618776466,0.0291293775471507,0.0247167312085361,0.0789034111657113
"4","ID","Prop_Qn_Weight_Loss",-0.00296430204142431,0.00721477204369644,0.963948146984701,0.985705028183899,0.912399820273061,0.956737322997764
"5","QnWeight_initial","Prop_Qn_Weight_Loss",-0.149146067002327,-0.206612245278294,0.0221969428954453,0.0708594715508447,0.00144828223041986,0.00820443222246764
"6","PC1_cov","Prop_Qn_Weight_Loss",-0.00283844668819386,-0.0394212858850204,0.967860258800267,0.985705028183899,0.575611473468919,0.836175375239856
"7","ID","Survived_eclosion",-0.0705794823642247,-0.0692958520319263,0.237427765104701,0.428402271819351,0.246088970889477,0.444030099648404
"8","QnWeight_initial","Survived_eclosion",0.244764810217494,0.24050644835793,3.24685165871141e-05,0.000224573906394206,4.48597415663889e-05,0.000338487140910026
"9","PC1_cov","Survived_eclosion",0.0924455512024573,0.0751185483482663,0.148271353977219,0.300159082441687,0.240456371548195,0.443508418633338
"10","Prop_Qn_Weight_Loss","Survived_eclosion",NA,NA,NA,NA,NA,NA
"11","ID","Days_wrkr_eclosion_minus20",0.205614048130927,0.212578620127509,0.00180204131744088,0.00879820172632902,0.001241316327785,0.00792532732355041
"12","QnWeight_initial","Days_wrkr_eclosion_minus20",-0.201020360723035,-0.209285632875059,0.00228955068093454,0.0100017213956614,0.00148272871490379,0.00820443222246764
"13","PC1_cov","Days_wrkr_eclosion_minus20",0.0572696600482633,0.0497610697521332,0.422893601793678,0.650003128682875,0.486304572528238,0.807265590396876
"14","Prop_Qn_Weight_Loss","Days_wrkr_eclosion_minus20",0.213196021988781,-0.0141406271532138,0.00120028438847442,0.0066415736162251,0.831829438778331,0.896647317124695
"15","Survived_eclosion","Days_wrkr_eclosion_minus20",NA,NA,NA,NA,NA,NA
"16","ID","Cmass_eclosion",-0.0707807856180978,-0.0901761750743585,0.279866583396793,0.467135895010224,0.168261296300858,0.377451016026248
"17","QnWeight_initial","Cmass_eclosion",0.369183855801799,0.524442733067061,5.32120147944681e-09,4.41659722794086e-08,5.2472154702823e-18,4.83909871148256e-17
"18","PC1_cov","Cmass_eclosion",-0.0777746097193186,-0.0338163971839929,0.268859247071016,0.464902448060298,0.631110623105461,0.836175375239856
"19","Prop_Qn_Weight_Loss","Cmass_eclosion",-0.714322951987781,-0.552557286285712,5.53880502810955e-38,5.74651021666366e-37,3.46155661768541e-20,3.59136499084862e-19
"20","Survived_eclosion","Cmass_eclosion",NA,NA,NA,NA,NA,NA
"21","Days_wrkr_eclosion_minus20","Cmass_eclosion",-0.521267394051105,-0.416302604484935,2.76769338651565e-17,2.55242834534221e-16,5.70412759034505e-11,4.7344258999864e-10
"22","ID","Survived_e_6wks",-0.0561370844994726,-0.049829519138806,0.595068597345946,0.832372309379356,0.637136406816067,0.836175375239856
"23","QnWeight_initial","Survived_e_6wks",0.263709994861982,0.230359059203272,0.0110863631545643,0.0383403392428684,0.0271664724635242,0.0835117486841671
"24","PC1_cov","Survived_e_6wks",-0.00635058803709716,0.0368317707477299,0.955415124592216,0.985705028183899,0.745666512844007,0.836175375239856
"25","Prop_Qn_Weight_Loss","Survived_e_6wks",-0.260313817422916,-0.241602438341385,0.0137506105179972,0.0456520269197506,0.0225511200224809,0.0748697184746365
"26","Survived_eclosion","Survived_e_6wks",NA,NA,NA,NA,NA,NA
"27","Days_wrkr_eclosion_minus20","Survived_e_6wks",-0.313134897489383,-0.330633829415989,0.00332893499787232,0.0131572192773049,0.00187565273188863,0.00972994854667229
"28","Cmass_eclosion","Survived_e_6wks",0.433716139043626,0.358693823464139,2.17697069486711e-05,0.000164262334249064,0.000557089868807109,0.00385320492591584
"29","ID","Cmass_6wks",-0.0454358371653036,-0.0660568549649112,0.690916898625076,0.882247732090481,0.562993998488213,0.836175375239856
"30","QnWeight_initial","Cmass_6wks",0.225508945366072,0.268263182064971,0.0456907549561176,0.11851039566743,0.0168317625445874,0.058209845466698
"31","PC1_cov","Cmass_6wks",-0.0238686051843678,0.0883314760995642,0.845648870849814,0.916766067861471,0.470451641257612,0.796887473966976
"32","Prop_Qn_Weight_Loss","Cmass_6wks",-0.199276244691431,-0.135115725729129,0.0782926452849161,0.175629447531028,0.235130482114552,0.443508418633338
"33","Survived_eclosion","Cmass_6wks",NA,NA,NA,NA,NA,NA
"34","Days_wrkr_eclosion_minus20","Cmass_6wks",-0.374207798692547,-0.332929756587243,0.000680434005019884,0.00403400160118931,0.00271753601303598,0.0125308605045548
"35","Cmass_eclosion","Cmass_6wks",0.42254987705218,0.278481338292213,0.000104804316776619,0.000669135253266105,0.0129509462993093,0.0467360236018554
"36","Survived_e_6wks","Cmass_6wks",NA,NA,NA,NA,NA,NA
"37","ID","Prop_gr_1_2",-0.0250701633563921,-0.038047711781889,0.826407622207756,0.916766067861471,0.738716740454739,0.836175375239856
"38","QnWeight_initial","Prop_gr_1_2",0.0843165496787696,0.109485788933328,0.46003225870645,0.694230499502462,0.336797846936488,0.594770665866564
"39","PC1_cov","Prop_gr_1_2",-0.00292244584390209,0.0952868103763245,0.980986445591151,0.985705028183899,0.435190539701284,0.752516974900136
"40","Prop_Qn_Weight_Loss","Prop_gr_1_2",0.0215475926283107,0.0309886926592168,0.850493821991967,0.916766067861471,0.786307634996082,0.858730706640458
"41","Survived_eclosion","Prop_gr_1_2",NA,NA,NA,NA,NA,NA
"42","Days_wrkr_eclosion_minus20","Prop_gr_1_2",-0.251609824313677,-0.202477113368652,0.0252975384484212,0.0749891318292487,0.0735252479060498,0.184927138672792
"43","Cmass_eclosion","Prop_gr_1_2",0.0533234239454846,-0.0368086236242392,0.64069530379316,0.844090638330671,0.747409772996327,0.836175375239856
"44","Survived_e_6wks","Prop_gr_1_2",NA,NA,NA,NA,NA,NA
"45","Cmass_6wks","Prop_gr_1_2",0.879265323293406,0.897774370462856,0,0,3.8306476591118e-29,4.54205365294685e-28
"46","ID","IR",-0.000989787841624656,0.00422528073222391,0.981743465953183,0.985705028183899,0.922156455901459,0.956737322997764
"47","QnWeight_initial","IR",0.000774983511721433,-0.00248545382431936,0.985705028183899,0.985705028183899,0.954177219745409,0.973405379073897
"48","PC1_cov","IR",0.0232413903793812,0.0188860198927796,0.639730242509335,0.844090638330671,0.703573323363699,0.836175375239856
"49","Prop_Qn_Weight_Loss","IR",0.0342198411005742,0.0334524082807854,0.601714922442908,0.832372309379356,0.609894468188556,0.836175375239856
"50","Survived_eclosion","IR",0.172826249892846,0.166666763276025,0.00359935541354295,0.013579386332912,0.00501557264055141,0.0198234537697984
"51","Days_wrkr_eclosion_minus20","IR",0.117101381218308,0.0837496559972742,0.0776395425642513,0.175629447531028,0.207721331196974,0.43102176223372
"52","Cmass_eclosion","IR",-0.0688837369692826,-0.113868364192189,0.292989233776474,0.476825615753869,0.0815204812160983,0.199005880615769
"53","Survived_e_6wks","IR",0.133773660290231,0.164626639180106,0.203625161922117,0.37557529865635,0.116840630955371,0.277079210551308
"54","Cmass_6wks","IR",0.068786959966966,-0.0514992727762188,0.546933924920285,0.782681306351442,0.652177742347497,0.836175375239856
"55","Prop_gr_1_2","IR",0.239227823596107,0.0499756572541383,0.0337247139879917,0.0933050420334437,0.661210891023147,0.836175375239856
"56","ID","SH",-0.0100580105155902,-0.0275186372439226,0.816118892133536,0.916766067861471,0.524560655130243,0.836175375239856
"57","QnWeight_initial","SH",0.0110430051336817,0.0176572516801611,0.798480661675514,0.916766067861471,0.68308688325741,0.836175375239856
"58","PC1_cov","SH",-0.0154428054005068,0.00238607157553753,0.755807532796223,0.916766067861471,0.961677603422404,0.973405379073897
"59","Prop_Qn_Weight_Loss","SH",-0.0404593843083278,-0.038636463460039,0.537118515755164,0.782119943994361,0.555628061986994,0.836175375239856
"60","Survived_eclosion","SH",-0.183033191835653,-0.174727195589943,0.00202793943888205,0.00935105407928943,0.00324194344180659,0.0134540652834973
"61","Days_wrkr_eclosion_minus20","SH",-0.117116403950994,-0.0878671020103055,0.0776012107140479,0.175629447531028,0.186158084240488,0.401649759392228
"62","Cmass_eclosion","SH",0.0978889762123664,0.12725920211477,0.134600603061129,0.283858223122174,0.0513703316779373,0.14212458430896
"63","Survived_e_6wks","SH",-0.117904160504245,-0.124262730377015,0.262993393763484,0.464435142178068,0.237932394721547,0.443508418633338
"64","Cmass_6wks","SH",-0.0337421182268896,0.0638062199690014,0.767833234367147,0.916766067861471,0.576399000986275,0.836175375239856
