Key,ID,V1,V2,V3,QnWeight_initial,PC1_cov,Prop_Qn_Weight_Loss,Survived_eclosion,Days_wrkr_eclosion_minus20,Cmass_eclosion,Survived_e_6wks,Cmass_6wks,Prop_gr_1_2,IR,SH,HL,MLH
340,340,1,1,0,11.8,0.071143916,0.576271186,1,NA,8,0,NA,NA, 1.529e-02,0.9997,0.4646,0.4423076923076923
442,442,1,1,0,14.8,NA,NA,NA,NA,NA,NA,NA,NA, 1.291e-01,0.8841,0.5338,0.3917525773195876
641,641,1,1,0,12.5,NA,NA,NA,NA,NA,NA,NA,NA, 4.940e-02,0.9712,0.4876,0.42105263157894735
559,559,1,1,0,13.5,-0.003419156,NA,NA,NA,NA,NA,NA,NA, 1.882e-01,0.7970,0.5753,0.34285714285714286
135,135,1,1,0,14.6,NA,0.808219178,1,NA,7,NA,NA,NA, 1.438e-01,0.8720,0.5495,0.39
406,406,1,1,0,14.9,0.011192225,NA,NA,NA,NA,NA,NA,NA,-8.766e-02,1.1531,0.4062,0.51
378,378,1,1,0,15.2,-0.010064729,NA,NA,NA,NA,NA,NA,NA, 9.831e-03,0.9914,0.4596,0.43820224719101125
89,89,1,1,0,14.6,0.0000648,0.787671233,1,NA,11,0,NA,NA,-9.492e-02,1.1334,0.4069,0.5
457,457,1,1,0,14.6,0.033615055,NA,NA,NA,NA,NA,NA,NA,-3.344e-02,1.0544,0.4184,0.4777777777777778
323,323,1,1,0,14,-0.029642367,NA,0,NA,NA,NA,NA,NA,-9.837e-02,1.1528,0.4331,0.5050505050505051
542,542,1,1,0,14.9,-0.061314556,NA,NA,NA,NA,NA,NA,NA, 2.884e-01,0.7530,0.6246,0.33
128,128,1,1,0,14.7,-0.073189092,0.829931973,1,NA,25,NA,NA,NA,-8.341e-02,1.1310,0.4095,0.5051546391752577
65,65,1,1,0,13.1,0.017901705,0.458015267,1,0,101,NA,NA,NA, 1.615e-01,0.8619,0.5606,0.375
631,631,1,1,0,15.3,NA,NA,NA,NA,NA,NA,NA,NA,-5.248e-02,1.0814,0.4521,0.46938775510204084
460,460,1,1,0,14.8,0.027392527,NA,NA,NA,NA,NA,NA,NA, 8.372e-02,0.9479,0.5275,0.42105263157894735
261,261,1,1,0,13.9,0.103036989,0.841726619,1,NA,3,NA,NA,NA,-2.286e-02,1.0272,0.4542,0.45977011494252873
568,568,1,1,0,14.6,NA,NA,NA,NA,NA,NA,NA,NA, 2.143e-01,0.8213,0.5854,0.3541666666666667
45,45,1,1,1,15.3,-0.000863968,0.607843137,1,NA,11,NA,NA,NA, 6.550e-02,0.9148,0.4872,0.41379310344827586
