Locus_name,Allele_Name,Sample_count,Allele_Frequency,Fis_WC
Aat2,101,957,0.8622,0.0533
Aat2,103,153,0.1378,0.0533
Acon1,101,452,0.9076,0.0439
Acon1,103,46,0.0924,0.0439
Acon5,99,237,0.2232,-0.0039
Acon5,101,825,0.7768,-0.0039
Acy1,101,1007,0.9171,0.0304
Acy1,103,91,0.0829,0.0304
Anna,69,139,0.1314,0.0816
Anna,73,575,0.5435,0.0143
Anna,77,344,0.3251,0.0188
Baez,151,426,0.4026,0.0342
Baez,157,632,0.5974,0.0342
Baron_harkonnen,310,911,0.9411,0.0876
Baron_harkonnen,311,57,0.0589,0.0876
Beatles,116,1089,0.9936,-0.0055
Beatles,124,7,0.0064,-0.0055
Bertha,200,179,0.1657,-0.0102
Bertha,206,623,0.5769,-0.0498
Bertha,212,271,0.2509,-0.0286
Bertha,214,1,0.0009,0.0000
Bertha,225,6,0.0056,-0.0047
Black_Crow,161,275,0.2609,0.0809
Black_Crow,165,172,0.1632,0.0422
Black_Crow,167,175,0.1660,0.0485
Black_Crow,169,430,0.4080,0.0739
Black_Crow,171,2,0.0019,-0.0010
Blackbird,97,987,0.8844,0.0806
Blackbird,100,129,0.1156,0.0806
Blue_Jay,93,196,0.1772,0.0460
Blue_Jay,101,87,0.0787,-0.0595
Blue_Jay,104,823,0.7441,-0.0106
C1,273,69,0.0674,0.1152
C1,274,5,0.0049,-0.0039
C1,275,670,0.6543,0.0339
C1,277,242,0.2363,0.0270
C1,284,37,0.0361,0.0756
C1,288,1,0.0010,0.0000
C147,67,593,0.5304,0.0205
C147,69,41,0.0367,0.1654
C147,71,1,0.0009,0.0000
C147,73,483,0.4320,0.0130
C204,163,296,0.2736,0.0615
C204,167,65,0.0601,-0.0303
C204,171,704,0.6506,0.0332
C204,173,1,0.0009,0.0000
C204,194,2,0.0018,-0.0009
C204,202,1,0.0009,0.0000
C204,204,13,0.0120,-0.0112
C21,81,877,0.7929,0.0262
C21,83,229,0.2071,0.0262
C216_pigtail,203,323,0.2942,0.0754
C216_pigtail,205,204,0.1858,0.0497
C216_pigtail,209,182,0.1658,-0.0265
C216_pigtail,211,389,0.3543,0.0494
C234,95,2,0.0018,1.0000
C234,109,1,0.0009,-0.0000
C234,118,208,0.1912,-0.0690
