"","i","j","pearson_corr","spearman_corr","pearson_p","pearson_p_adjusted","spearman_p","spearman_p_adjusted"
"1","ID","QnSinV1",0.125677896510618,0.124165157009401,0.307155705592548,0.738480738977828,0.313061066376519,0.833551029240528
"2","ID","QnSinV2",-0.0747952052216208,-0.0703298164178379,0.544387148994422,0.87440441075911,0.568739620564914,0.943953958998075
"3","QnSinV1","QnSinV2",0.617914380653325,0.617914380653325,1.97982767957683e-08,2.79650659740227e-07,1.97982769301662e-08,2.48578365900975e-07
"4","ID","QnSinV3",0.0312974866716526,0.0280093989031891,0.799987817531474,0.99960648108617,0.820630818824228,0.960575605188661
"5","QnSinV1","QnSinV3",0.701810026597537,0.701810026597537,2.60786947592351e-11,4.20984643970509e-10,2.60786072706687e-11,3.68360327698195e-10
"6","QnSinV2","QnSinV3",0.433658507921311,0.43365850792131,0.000220509012736292,0.00191673218763084,0.000220509012736314,0.00207645986993362
"7","ID","QnSize",0.317604828721922,0.421728257849403,0.0134060441863939,0.0891107642977948,0.000876724497534607,0.00707641915867219
"8","QnSinV1","QnSize",6.50404348139172e-05,-0.0375291514634918,0.99960648108617,0.99960648108617,0.775885723951409,0.960575605188661
"9","QnSinV2","QnSize",-0.0310814370103565,-0.0678997169939592,0.813628100522435,0.99960648108617,0.606217201732544,0.944703697798355
"10","QnSinV3","QnSize",-0.0190149821524015,-0.0864513011794331,0.885339365339104,0.99960648108617,0.511313706466422,0.943953958998075
"11","ID","QnWt",-0.0447560137097657,-0.0175432030688126,0.717048072016386,0.974066756340902,0.887084916793574,0.960575605188661
"12","QnSinV1","QnWt",-0.156268616710913,-0.126541895564154,0.203171489857713,0.604167851418987,0.303815421623684,0.833551029240528
"13","QnSinV2","QnWt",-0.101603730375846,-0.100597968101338,0.409684527942096,0.798178476852705,0.414359511847377,0.936452496775071
"14","QnSinV3","QnWt",0.0106133111661529,0.0124643327847834,0.931546390225009,0.99960648108617,0.919644276240853,0.960575605188661
"15","QnSize","QnWt",0.231285907034695,0.257351133561047,0.0753971923363563,0.354995113917011,0.0471363479833313,0.355093821474429
"16","ID","QnWtLsCL",0.00429763629569224,-0.00543478260869565,0.977127905040375,0.99960648108617,0.971269887347392,0.979941939912993
"17","QnSinV1","QnWtLsCL",0.182113409760785,0.101021354226034,0.220513529021121,0.638923814856069,0.499262921098127,0.943953958998075
"18","QnSinV2","QnWtLsCL",0.233956898733248,0.179664450818771,0.113468722592903,0.432384184788153,0.226888553314978,0.802083854805577
"19","QnSinV3","QnWtLsCL",0.364836025513864,0.25,0.011688398385667,0.0825493135987735,0.0901149418576558,0.503356332171726
"20","QnSize","QnWtLsCL",-0.0360002143853209,-0.0781946357669557,0.820936666042019,0.99960648108617,0.621475475053714,0.944703697798355
"21","QnWt","QnWtLsCL",-0.022757136935833,-0.0122110070428129,0.879318238850483,0.99960648108617,0.935073597971263,0.960575605188661
"22","ID","ClaustPer",0.0125795032422409,0.0878764915067826,0.933872570638649,0.99960648108617,0.561422282886357,0.943953958998075
"23","QnSinV1","ClaustPer",-0.134435280446991,-0.169962923780382,0.373066210237897,0.795405316167592,0.258788016639456,0.833551029240528
"24","QnSinV2","ClaustPer",-0.192268515871419,-0.243079934075092,0.200501710674034,0.604167851418987,0.103568201890293,0.503356332171726
"25","QnSinV3","ClaustPer",NA,NA,NA,NA,NA,NA
"26","QnSize","ClaustPer",0.00942461786487312,0.0729103585956961,0.953364714017417,0.99960648108617,0.650534166375207,0.944703697798355
"27","QnWt","ClaustPer",-0.280355928127067,-0.255222544971755,0.0591363178291621,0.290871234376355,0.0869254495950714,0.503356332171726
"28","QnWtLsCL","ClaustPer",-0.0558444143744364,-0.0316741639716755,0.712411300929765,0.974066756340902,0.834475652013791,0.960575605188661
"29","ID","QnSurvCL",0.0435959912144175,0.0443973270325074,0.724085022412706,0.974066756340902,0.719221470668271,0.960575605188661
