Locus,H_obs,H_exp
6,0.7142857142857143,0.870052380952381
13,0.9047619047619048,0.9047619047619048
16,0.8409090909090909,0.9260704545454547
18,0.8536585365853658,0.9006317073170731
21,0.9555555555555556,0.9001244444444445
25,0.8181818181818182,0.8989022727272726
28,0.9777777777777777,0.9051177777777778
31,0.8478260869565217,0.8817478260869566
34,0.9069767441860465,0.9417232558139536
69,0.8333333333333334,0.8806666666666667
73,0.9047619047619048,0.9061952380952382
74,0.8478260869565217,0.8425695652173913
84,0.8863636363636364,0.8774818181818183
m71E,0.9148936170212766,0.9112340425531915
m82C,1.0,0.9210702127659575
