ID,QnSinV1,QnSinV2,QnSinV3,QnSize,QnWt,QnWtLsCL,ClaustPer,QnSurvCL,ColWtCL,ColWtCL_6,ColGrowthCL_6,QnSurvCL_6,IR,SH,HL,MLH
1,0,1,0,0.032140423,15.8,NA,NA,0,NA,NA,NA,NA, 0.1647485,0.8523,0.24995,0.75
2,0,0,0,0.017620319,16.5,0.503030303,1,1,11.7,57.1,4.88034188,1,-0.0252313,1.0216,0.10342,0.9
3,0,0,0,NA,11.9,0.596638655,2,1,7.3,45,6.164383562,NA,NA,NA,NA,NA
4,0,0,0,-0.093448167,13.7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,0,0,0,0.043842677,12.9,0.565891473,6,1,5.3,NA,NA,NA,NA,NA,NA,NA
6,0,0,0,-0.089198322,15.5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
7,0,0,0,-0.051090375,15,0.446666667,3,1,9.1,73.6,8.087912088,1,NA,NA,NA,NA
8,0,0,0,-0.04364307,11.9,0.445378151,2,1,8.5,NA,NA,NA,NA,NA,NA,NA
9,0,0,0,0.001188913,15.3,0.509803922,0,1,11.1,NA,NA,NA,NA,NA,NA,NA
10,0,0,0,NA,13.7,0.408759124,2,1,9.6,NA,NA,NA,NA,NA,NA,NA
11,0,0,0,NA,15.3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
12,0,0,0,-0.144868599,15.8,0.462025316,0,1,11.2,NA,NA,NA,NA,NA,NA,NA
13,0,0,0,-0.000260992,16.3,0.552147239,1,1,9,43.8,4.866666667,1,NA,NA,NA,NA
14,0,0,0,0.008502255,15.9,0.509433962,0,1,11.2,NA,NA,NA,NA,NA,NA,NA
15,0,0,0,-0.00346349,15.1,0.456953642,0,1,12,NA,NA,NA,NA,NA,NA,NA
16,0,0,0,0.017208373,14.5,0.455172414,0,1,11,71.1,6.463636364,1,NA,NA,NA,NA
17,0,0,0,0.004301855,14.4,0.506944444,1,1,10.9,NA,NA,NA,NA,NA,NA,NA
18,0,0,0,0.004420431,15.7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19,0,0,0,-0.029429977,15.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
20,0,0,0,-0.007564124,14.4,0.486111111,0,1,9.9,53.7,5.424242424,1,NA,NA,NA,NA
21,0,0,0,NA,13.3,0.473684211,7,1,8.6,NA,NA,0,NA,NA,NA,NA
22,0,0,0,0.174388101,14.8,0.513513514,1,1,10.8,84.4,7.814814815,1,NA,NA,NA,NA
23,0,0,0,-0.142412328,15.1,0.516556291,0,1,10.9,NA,NA,NA,NA,NA,NA,NA
24,0,0,0,0.064935852,15.1,0.582781457,1,1,8.7,NA,NA,NA,NA,NA,NA,NA
25,0,1,0,-0.052174354,14.7,0.537414966,0,1,10.8,NA,NA,NA,-0.0486107,1.0578,0.07790,0.9230769230769231
26,1,1,0,-0.040909634,11.2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
27,0,0,0,NA,15.8,0.474683544,1,1,11.6,56,4.827586207,1,-0.0197167,1.0422,0.08740,0.9166666666666666
28,0,0,0,0.005180317,17.8,0.43258427,2,1,13.7,56.1,4.094890511,1,-0.0407068,1.0470,0.07245,0.9230769230769231
29,0,0,0,0.05728222,16.4,0.432926829,2,1,10.8,NA,NA,NA,-0.0303334,1.0518,0.06972,0.9285714285714286
30,0,0,0,0.020858634,16.6,NA,NA,0,NA,NA,NA,NA,-0.0407470,1.0523,0.07368,0.9285714285714286
31,0,0,0,0.041215822,13.4,NA,NA,0,NA,NA,NA,NA, 0.0184973,0.9843,0.13761,0.8666666666666667
32,0,0,0,NA,10.8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
33,0,1,0,0.012445955,15.1,NA,NA,0,NA,NA,NA,NA, 0.0293320,0.9812,0.14089,0.8571428571428571
34,0,0,0,-0.002449455,15.1,0.569536424,2,1,9.3,59.4,6.387096774,1,-0.1294627,1.1526,0.00000,1.0
35,0,0,0,NA,15.7,NA,NA,0,NA,NA,NA,NA, 0.0194291,0.9754,0.14120,0.8571428571428571
36,0,0,0,0.011379015,11.1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
37,0,0,0,-0.040942923,14.8,0.445945946,3,1,9.6,NA,NA,NA, 0.1173325,0.8805,0.21475,0.7857142857142857
38,0,0,0,-0.082284946,14.2,0.485915493,2,1,9.8,45.7,4.663265306,1,-0.1150682,1.1279,0.00000,1.0
39,0,0,0,-0.173656321,12.7,0.543307087,2,1,8.7,NA,NA,NA, 0.1145378,0.8904,0.21144,0.7857142857142857
40,0,0,0,0.022723036,17.9,NA,NA,0,NA,NA,NA,NA,-0.1252095,1.1335,0.00000,1.0
41,0,0,0,-0.061326436,16.2,0.543209877,0,1,11.1,NA,NA,NA,-0.0343059,1.0600,0.06457,0.9333333333333333
42,0,0,0,NA,14.2,NA,NA,0,NA,NA,NA,NA,-0.0352390,1.0600,0.06259,0.9333333333333333
43,0,0,0,0.030309309,15,0.46,1,1,11.4,NA,NA,NA, 0.1379366,0.8577,0.22687,0.7692307692307693
44,0,0,0,0.005131715,15.1,NA,NA,0,NA,NA,NA,NA, 0.1180891,0.8928,0.21296,0.7857142857142857
45,1,1,1,-0.000863968,15.3,0.607843137,NA,1,1.1,NA,NA,NA, 0.0456725,0.9714,0.14188,0.8571428571428571
46,0,0,0,0.072619369,16.3,0.435582822,0,1,12.3,NA,NA,NA,-0.0408823,1.0523,0.07491,0.9285714285714286
47,0,0,0,-0.004117635,15.5,0.529032258,0,1,11.3,NA,NA,NA, 0.0528516,0.9606,0.14225,0.8571428571428571
48,0,0,0,0.008237871,16.3,0.429447853,0,1,13,71.4,5.492307692,1,-0.0289278,1.0523,0.07003,0.9285714285714286
49,0,0,0,NA,17,0.470588235,0,1,13.4,NA,NA,NA, 0.0264396,0.9704,0.14342,0.8571428571428571
50,0,0,0,0.025469259,15.9,NA,NA,0,NA,NA,NA,NA, 0.1371401,0.8978,0.21080,0.7857142857142857
51,0,0,0,0.233237083,15.1,NA,NA,0,NA,NA,NA,NA, 0.2083848,0.8205,0.29759,0.7
52,0,0,0,0.043434984,14.9,0.489932886,3,1,9.6,NA,NA,NA, 0.1184575,0.9086,0.19721,0.8
53,0,0,0,0.002410207,15.4,NA,NA,0,NA,NA,NA,NA,-0.0499324,1.0493,0.06707,0.9285714285714286
54,0,0,0,0.017884698,12.9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
55,0,0,0,0.070046253,16.5,0.563636364,3,1,1.5,NA,NA,NA,-0.0177197,1.0193,0.08360,0.9166666666666666
56,0,0,0,-0.039613297,12.8,0.515625,3,1,7.4,NA,NA,NA,-0.0434402,1.0600,0.06457,0.9333333333333333
