Locus_name,Allele_Name,Sample_count,Allele_Frequency,Fis_WC
6,323,10,0.1190,0.3297
6,347,4,0.0476,-0.0380
6,351,21,0.2500,0.1863
6,355,11,0.1310,0.0705
6,359,7,0.0833,-0.0789
6,363,9,0.1071,0.3881
6,367,2,0.0238,-0.0123
6,371,5,0.0595,0.3724
6,375,12,0.1429,0.2336
6,379,3,0.0357,-0.0250
13,244,4,0.0476,-0.0380
13,248,2,0.0238,-0.0123
13,254,1,0.0119,0.0000
13,256,2,0.0238,-0.0123
13,258,6,0.0714,-0.0649
13,260,4,0.0476,-0.0380
13,262,1,0.0119,0.0000
13,264,7,0.0833,-0.0789
13,266,4,0.0476,-0.0380
13,268,3,0.0357,-0.0250
13,270,14,0.1667,0.1546
13,276,5,0.0595,-0.0513
13,278,18,0.2143,0.0221
13,280,6,0.0714,-0.0649
13,286,2,0.0238,-0.0123
13,290,1,0.0119,0.0000
13,292,3,0.0357,-0.0250
13,296,1,0.0119,0.0000
16,239,1,0.0114,-0.0000
16,245,1,0.0114,-0.0000
16,249,1,0.0114,-0.0000
16,251,7,0.0795,-0.0750
16,253,1,0.0114,-0.0000
16,255,2,0.0227,-0.0118
16,257,4,0.0455,-0.0361
16,259,12,0.1364,0.0466
16,261,12,0.1364,0.0466
16,263,6,0.0682,-0.0617
16,265,8,0.0909,0.4591
16,267,3,0.0341,-0.0238
16,269,8,0.0909,0.4591
16,273,5,0.0568,-0.0488
16,277,1,0.0114,-0.0000
16,281,3,0.0341,-0.0238
16,283,1,0.0114,-0.0000
16,285,9,0.1023,0.1449
16,287,1,0.0114,-0.0000
16,289,1,0.0114,-0.0000
16,307,1,0.0114,-0.0000
18,289,10,0.1220,0.1011
18,293,3,0.0366,0.6610
18,297,1,0.0122,-0.0000
18,301,10,0.1220,-0.1268
18,303,13,0.1585,0.0068
18,307,14,0.1707,0.1507
18,311,4,0.0488,-0.0390
18,315,8,0.0976,-0.0959
18,319,4,0.0488,-0.0390
18,323,6,0.0732,-0.0667
18,327,5,0.0610,0.3717
18,331,3,0.0366,-0.0256
18,335,1,0.0122,-0.0000
21,292,1,0.0111,0.0000
21,296,8,0.0889,-0.0864
21,300,12,0.1333,-0.1429
21,304,11,0.1222,-0.1282
21,308,12,0.1333,-0.1429
21,312,14,0.1556,-0.0038
21,318,11,0.1222,-0.1282
21,322,4,0.0444,0.4854
21,326,4,0.0444,-0.0353
21,330,7,0.0778,-0.0732
21,334,4,0.0444,-0.0353
21,342,1,0.0111,0.0000
21,346,1,0.0111,0.0000
25,260,1,0.0114,-0.0000
25,262,19,0.2159,0.0046
25,278,3,0.0341,-0.0238
25,286,2,0.0227,-0.0118
25,288,2,0.0227,-0.0118
25,290,12,0.1364,0.2389
25,292,9,0.1023,0.1449
25,294,3,0.0341,-0.0238
25,296,3,0.0341,-0.0238
25,298,8,0.0909,-0.0886
25,300,1,0.0114,-0.0000
25,302,4,0.0455,-0.0361
25,304,2,0.0227,-0.0118
25,306,11,0.1250,0.0764
25,310,5,0.0568,0.3738
25,314,3,0.0341,0.6614
28,91,5,0.0556,-0.0476
28,99,2,0.0222,-0.0115
28,103,3,0.0333,-0.0233
28,107,3,0.0333,-0.0233
28,111,5,0.0556,-0.0476
28,115,11,0.1222,-0.1282
28,119,5,0.0556,-0.0476
28,123,15,0.1667,-0.0288
28,127,16,0.1778,-0.2055
28,131,7,0.0778,-0.0732
28,135,5,0.0556,-0.0476
28,139,8,0.0889,-0.0864
28,143,3,0.0333,-0.0233
28,151,2,0.0222,-0.0115
31,213,1,0.0109,-0.0000
31,217,1,0.0109,-0.0000
31,221,3,0.0326,-0.0227
31,225,10,0.1087,0.1133
31,229,11,0.1196,0.0816
31,233,15,0.1630,-0.1842
31,237,18,0.1957,0.0440
31,241,11,0.1196,0.0816
31,245,12,0.1304,0.0526
31,249,5,0.0543,0.3750
31,251,3,0.0326,-0.0227
31,255,1,0.0109,-0.0000
31,265,1,0.0109,-0.0000
34,182,1,0.0116,-0.0000
34,184,1,0.0116,-0.0000
34,192,5,0.0581,-0.0500
34,194,8,0.0930,-0.0909
34,196,3,0.0349,-0.0244
34,198,5,0.0581,-0.0500
34,200,5,0.0581,-0.0500
34,202,7,0.0814,0.2336
34,206,7,0.0814,0.2336
34,210,11,0.1279,0.0735
34,212,1,0.0116,-0.0000
34,214,9,0.1047,0.1429
34,216,2,0.0233,-0.0120
34,218,5,0.0581,-0.0500
34,222,3,0.0349,-0.0244
34,226,1,0.0116,-0.0000
34,230,1,0.0116,-0.0000
34,232,1,0.0116,-0.0000
34,234,2,0.0233,-0.0120
34,238,1,0.0116,-0.0000
34,240,1,0.0116,-0.0000
34,242,3,0.0349,-0.0244
34,244,2,0.0233,-0.0120
34,248,1,0.0116,-0.0000
69,162,5,0.0595,-0.0513
69,166,13,0.1548,0.0110
69,170,11,0.1310,0.0705
69,174,2,0.0238,-0.0123
69,178,9,0.1071,0.1407
69,180,8,0.0952,-0.0933
69,184,17,0.2024,0.0533
69,188,12,0.1429,0.2336
69,192,3,0.0357,-0.0250
69,196,3,0.0357,-0.0250
69,200,1,0.0119,0.0000
73,329,14,0.1667,-0.0165
73,333,1,0.0119,0.0000
73,341,2,0.0238,-0.0123
73,349,13,0.1548,0.1926
73,353,3,0.0357,-0.0250
73,357,6,0.0714,-0.0649
73,361,4,0.0476,-0.0380
73,365,7,0.0833,-0.0789
73,369,13,0.1548,0.0110
73,373,8,0.0952,-0.0933
73,377,3,0.0357,-0.0250
73,381,1,0.0119,0.0000
73,385,2,0.0238,-0.0123
73,389,1,0.0119,0.0000
73,393,2,0.0238,-0.0123
73,397,1,0.0119,0.0000
73,401,2,0.0238,-0.0123
73,409,1,0.0119,0.0000
74,229,1,0.0109,-0.0000
74,233,4,0.0435,-0.0345
74,237,13,0.1413,0.2043
74,241,18,0.1957,0.0440
74,245,8,0.0870,-0.0843
74,249,27,0.2935,-0.0900
74,253,2,0.0217,-0.0112
74,257,9,0.0978,-0.0976
74,261,2,0.0217,-0.0112
74,265,3,0.0326,-0.0227
74,269,2,0.0217,-0.0112
74,277,2,0.0217,-0.0112
74,281,1,0.0109,-0.0000
84,133,1,0.0114,-0.0000
84,141,4,0.0455,-0.0361
84,145,4,0.0455,-0.0361
84,151,10,0.1136,0.1088
84,155,18,0.2045,-0.1061
84,159,17,0.1932,-0.0822
84,163,14,0.1591,-0.0078
84,167,5,0.0568,0.3738
84,171,6,0.0682,-0.0617
84,175,3,0.0341,-0.0238
84,179,3,0.0341,-0.0238
84,183,2,0.0227,-0.0118
84,191,1,0.0114,-0.0000
m71E,216,10,0.1064,-0.1084
m71E,220,10,0.1064,0.1154
m71E,224,4,0.0426,-0.0337
m71E,228,7,0.0745,-0.0698
m71E,232,3,0.0319,-0.0222
m71E,236,13,0.1383,0.0288
m71E,240,8,0.0851,0.1906
m71E,244,11,0.1170,0.0841
m71E,248,11,0.1170,-0.1220
m71E,252,9,0.0957,-0.0952
m71E,256,6,0.0638,-0.0575
m71E,260,2,0.0213,-0.0110
m82C,145,2,0.0213,-0.0110
m82C,149,5,0.0532,-0.0455
m82C,153,5,0.0532,-0.0455
m82C,157,5,0.0532,-0.0455
m82C,161,4,0.0426,-0.0337
m82C,165,9,0.0957,-0.0952
m82C,169,16,0.1702,-0.1948
m82C,173,10,0.1064,-0.1084
m82C,177,7,0.0745,-0.0698
m82C,181,7,0.0745,-0.0698
m82C,185,6,0.0638,-0.0575
m82C,189,7,0.0745,-0.0698
m82C,193,8,0.0851,-0.0824
m82C,197,2,0.0213,-0.0110
m82C,205,1,0.0106,0.0000
