"","QnSize","pval1","QnWt","pval2"
"1","6",0.98,"6",0.62625
"2","13",0.22,"13",0.62625
"3","16",0.73125,"16",0.399
"4","18",0.7035,"18",0.39
"5","21",0.7035,"21",0.399
"6","25",0.7035,"25",0.885
"7","28",0.22,"28",0.495
"8","31",0.7035,"31",0.959
"9","34",0.732692307692308,"34",0.62625
"10","69",0.7035,"69",0.399
"11","73",0.728181818181818,"73",0.399
"12","74",0.800357142857143,"74",0.590625
"13","84",0.7035,"84",0.62625
"14","m71E",0.7035,"m71E",0.933214285714286
"15","m82C",0.06250000005,"m82C",0.563571428571429
