ID,Loci_typed_per_individual
1,88
2,88
4,79
7,67
9,73
10,58
12,95
13,100
14,92
15,86
16,99
17,97
18,82
20,94
21,90
22,93
23,87
24,89
25,90
27,94
28,92
29,90
31,97
34,93
37,99
38,97
39,93
40,102
41,96
43,93
44,94
45,87
46,54
47,89
48,95
49,90
52,89
55,82
56,77
59,87
60,86
61,93
62,92
63,98
65,88
66,80
67,88
68,55
69,74
71,90
72,71
73,97
74,95
75,90
76,97
77,98
79,93
80,98
81,93
82,96
83,91
84,100
85,73
86,93
87,97
88,98
89,98
90,97
92,88
93,89
94,95
95,96
98,99
99,97
100,98
102,99
103,99
104,89
105,95
107,91
108,91
109,103
111,104
113,104
114,100
115,83
116,104
117,100
118,103
119,97
121,103
123,95
124,102
125,93
126,82
127,101
128,97
129,98
130,104
131,102
133,100
135,100
136,99
137,103
139,79
140,99
141,100
142,104
143,96
144,100
145,95
146,104
147,100
148,103
149,97
151,94
152,101
153,97
154,100
155,92
156,94
157,102
158,94
159,104
160,102
161,104
162,102
163,101
164,103
165,103
166,103
167,103
168,100
169,94
170,104
171,104
172,104
173,102
174,104
175,104
177,96
178,96
179,99
182,98
183,65
184,95
185,94
186,101
187,104
188,103
189,102
191,97
192,98
194,102
195,100
197,101
198,104
199,99
202,92
204,97
205,103
206,102
208,104
209,101
210,101
211,104
212,103
213,104
214,104
215,93
216,96
217,104
218,102
219,102
222,103
224,103
226,103
228,95
229,104
232,103
233,98
234,100
235,101
236,103
237,102
238,103
239,85
241,101
242,68
244,101
245,97
247,100
248,99
251,103
254,103
255,99
259,102
260,101
261,87
262,102
266,96
267,102
268,98
269,102
270,99
271,97
273,95
275,94
276,86
278,103
279,104
280,104
281,101
282,93
285,101
286,100
287,88
289,92
291,94
292,93
295,97
296,95
297,94
298,93
299,86
302,98
303,104
305,104
306,101
307,101
309,101
310,99
312,87
313,99
314,103
315,103
316,102
318,98
319,82
320,103
321,104
322,103
324,94
325,98
327,95
328,98
329,102
330,99
333,82
334,103
335,45
336,93
337,103
338,99
339,104
340,104
341,87
343,103
344,100
345,102
346,103
347,90
349,104
350,100
351,103
352,102
353,103
354,103
355,102
356,101
357,104
358,103
359,101
360,96
361,104
362,103
363,104
364,104
365,101
366,103
367,104
369,103
371,82
372,91
373,83
374,86
375,85
376,93
377,87
378,88
379,92
380,89
381,82
382,95
383,81
384,93
385,98
387,102
388,102
389,104
391,103
392,103
393,102
394,99
395,91
396,103
397,98
401,98
402,101
403,97
404,99
405,100
406,99
407,97
408,87
409,99
410,98
411,103
412,103
413,102
414,101
415,104
416,99
417,104
418,96
419,101
420,94
421,104
422,104
423,102
426,103
427,104
430,93
434,102
437,100
438,101
439,98
440,100
442,96
443,96
445,95
447,94
448,103
449,93
450,100
451,91
452,101
453,100
454,93
455,96
456,85
457,89
458,94
459,91
460,94
461,100
462,99
463,98
464,90
467,94
468,101
469,98
470,99
471,103
472,103
473,102
474,99
475,98
476,99
477,97
478,100
479,101
480,95
481,98
482,101
483,102
484,91
485,102
486,102
487,99
488,99
489,102
490,102
491,102
492,103
493,101
494,102
495,103
496,100
497,102
499,102
500,102
501,97
502,101
503,97
505,103
507,103
508,102
509,101
510,93
511,102
512,103
513,102
514,98
515,99
516,102
517,98
518,102
519,101
520,99
521,103
522,103
523,102
524,99
525,102
526,100
527,102
528,102
529,103
530,100
531,103
532,98
533,100
534,101
535,95
536,97
537,101
538,100
539,101
540,100
541,102
542,99
543,100
544,103
545,97
546,100
547,102
548,103
549,101
550,101
551,99
552,99
555,98
556,91
557,103
558,96
559,69
560,101
561,101
562,99
563,76
564,99
565,96
566,67
567,83
568,95
569,96
570,92
571,91
572,89
573,91
574,92
575,96
576,83
577,98
578,85
579,76
580,98
581,92
582,68
583,95
584,84
585,91
586,92
587,85
588,97
589,85
590,86
591,73
592,51
593,98
594,98
595,97
596,99
597,99
598,99
599,99
600,99
601,98
603,97
604,98
605,99
606,97
607,98
608,95
609,99
610,98
611,98
612,96
613,56
614,48
615,46
616,32
617,52
618,77
619,38
620,77
621,93
622,97
623,99
624,96
625,99
626,96
627,99
628,98
630,97
631,97
632,99
633,99
634,99
635,98
636,35
637,98
638,98
639,96
641,94
642,99
643,93
644,92
645,98
646,98
647,96
648,54
649,99
650,99
651,98
652,96
