Locus_name,Allele_Name,Sample_count,Allele_Frequency,Fis_WC
Aat2,101,913,0.8679,0.0477
Aat2,103,139,0.1321,0.0477
Acon5,99,226,0.2247,-0.0148
Acon5,101,780,0.7753,-0.0148
Acy1,101,941,0.9118,0.0248
Acy1,103,91,0.0882,0.0248
Anna,69,132,0.1307,0.0772
Anna,73,550,0.5446,0.0269
Anna,77,328,0.3248,0.0167
Baez,151,414,0.4035,0.0291
Baez,157,612,0.5965,0.0291
Baron_harkonnen,310,882,0.9443,0.1050
Baron_harkonnen,311,52,0.0557,0.1050
Beatles,116,1038,0.9924,-0.0068
Beatles,124,8,0.0076,-0.0068
Bertha,200,176,0.1712,-0.0274
Bertha,206,589,0.5730,-0.0526
Bertha,212,256,0.2490,-0.0289
Bertha,214,2,0.0019,-0.0010
Bertha,225,5,0.0049,-0.0039
Black_Crow,161,266,0.2644,0.0811
Black_Crow,165,162,0.1610,0.0151
Black_Crow,167,171,0.1700,0.0358
Black_Crow,169,405,0.4026,0.0711
Black_Crow,171,2,0.0020,-0.0010
Blackbird,97,947,0.8867,0.0596
Blackbird,100,121,0.1133,0.0596
Blue_Jay,93,188,0.1774,0.0311
Blue_Jay,101,82,0.0774,-0.0565
Blue_Jay,104,790,0.7453,-0.0128
C1,273,66,0.0673,0.0913
C1,274,5,0.0051,-0.0041
C1,275,630,0.6429,-0.0034
C1,277,243,0.2480,-0.0004
C1,284,35,0.0357,0.0825
C1,288,1,0.0010,-0.0000
C147,67,572,0.5366,0.0201
C147,69,34,0.0319,0.1503
C147,71,1,0.0009,-0.0000
C147,73,459,0.4306,-0.0053
C204,163,281,0.2718,0.0676
C204,167,62,0.0600,0.0058
C204,171,676,0.6538,0.0439
C204,173,1,0.0010,0.0000
C204,194,1,0.0010,0.0000
C204,202,1,0.0010,0.0000
C204,204,12,0.0116,-0.0108
C21,81,830,0.7845,0.0393
C21,83,228,0.2155,0.0393
C216_pigtail,203,301,0.2872,0.0548
C216_pigtail,205,202,0.1927,0.0443
C216_pigtail,209,178,0.1698,-0.0142
C216_pigtail,211,367,0.3502,0.0491
C234,95,2,0.0019,1.0000
C234,109,1,0.0010,-0.0000
C234,118,196,0.1885,-0.0930
C234,124,175,0.1683,0.0048
C234,133,74,0.0712,-0.0174
C234,136,204,0.1962,-0.0235
C234,139,376,0.3615,0.0012
C234,142,12,0.0115,-0.0107
C259,184,572,0.5743,-0.0503
C259,186,423,0.4247,-0.0469
C259,188,1,0.0010,0.0000
C278_PT,112,852,0.8161,0.0692
C278_PT,114,192,0.1839,0.0692
C294,96,13,0.0123,0.1442
C294,100,292,0.2770,0.1199
C294,106,482,0.4573,0.1369
C294,108,47,0.0446,0.1324
C294,110,1,0.0009,-0.0000
C294,112,218,0.2068,0.1334
C294,114,1,0.0009,-0.0000
C316,205,173,0.1703,0.0466
C316,207,653,0.6427,0.0194
C316,211,1,0.0010,0.0000
C316,213,1,0.0010,0.0000
C316,232,1,0.0010,0.0000
C316,234,181,0.1781,-0.0276
C316,238,1,0.0010,0.0000
C316,250,5,0.0049,-0.0040
C334,189,902,0.8757,0.0910
C334,191,128,0.1243,0.0910
C367,228,24,0.0233,0.0624
C367,230,865,0.8398,-0.0021
C367,232,139,0.1350,-0.0220
C367,233,1,0.0010,-0.0000
C367,236,1,0.0010,-0.0000
C368_PigTail,188,805,0.7923,-0.0099
C368_PigTail,190,4,0.0039,0.4988
C368_PigTail,194,109,0.1073,0.0452
C368_PigTail,196,34,0.0335,-0.0336
C368_PigTail,209,63,0.0620,0.0026
C368_PigTail,212,1,0.0010,0.0000
C485,101,383,0.3593,0.0514
C485,114,122,0.1144,0.0013
C485,116,250,0.2345,-0.0128
C485,120,2,0.0019,-0.0009
C485,124,1,0.0009,-0.0000
C485,132,153,0.1435,-0.0140
C485,134,152,0.1426,-0.0119
C485,137,3,0.0028,-0.0019
C487_PigTail,320,631,0.7236,0.0665
C487_PigTail,322,108,0.1239,0.0711
C487_PigTail,326,32,0.0367,0.0279
C487_PigTail,328,101,0.1158,0.0045
C536,87,177,0.1752,-0.0882
C536,91,4,0.0040,-0.0030
C536,93,235,0.2327,-0.0139
C536,95,103,0.1020,0.1036
C536,99,118,0.1168,0.0030
C536,101,13,0.0129,-0.0120
C536,103,116,0.1149,-0.0314
C536,105,3,0.0030,-0.0020
C536,107,235,0.2327,-0.0360
C536,111,1,0.0010,-0.0000
C536,113,4,0.0040,-0.0030
C536,117,1,0.0010,-0.0000
Cactus_tree,140,575,0.5843,0.0763
Cactus_tree,143,409,0.4157,0.0763
Carey,103,353,0.3401,-0.0765
Carey,105,685,0.6599,-0.0765
Carnival,129,691,0.6801,-0.0350
Carnival,132,59,0.0581,0.0833
Carnival,139,266,0.2618,-0.0685
Cool_water,144,175,0.1683,0.0735
Cool_water,146,865,0.8317,0.0735
Coyote,163,779,0.7774,-0.0661
Coyote,165,223,0.2226,-0.0661
Darwi_Odrade,333,109,0.1781,0.1644
Darwi_Odrade,335,1,0.0016,-0.0000
Darwi_Odrade,339,82,0.1340,0.1285
Darwi_Odrade,341,61,0.0997,0.0002
Darwi_Odrade,343,1,0.0016,-0.0000
Darwi_Odrade,344,2,0.0033,-0.0016
Darwi_Odrade,345,5,0.0082,0.3964
Darwi_Odrade,347,221,0.3611,0.2013
