Locus,H_obs,H_exp
Aat2,0.21863117870722434,0.22956045627376426
Acon5,0.3538767395626243,0.34871371769383697
Acy1,0.1569767441860465,0.16096182170542633
Anna,0.5623762376237624,0.5814912871287129
Baez,0.4678362573099415,0.4818485380116959
Baron_harkonnen,0.09421841541755889,0.1052625267665953
Beatles,0.015296367112810707,0.015193881453154876
Bertha,0.603112840466926,0.5809315175097276
Black_Crow,0.6739562624254473,0.7138918489065607
Blackbird,0.1891385767790262,0.20110823970037453
Blue_Jay,0.40943396226415096,0.40749735849056606
C1,0.5122448979591837,0.5199432653061224
C147,0.5178236397748592,0.5261510318949343
C204,0.47195357833655704,0.49547524177949714
C21,0.32514177693761814,0.33844045368620035
C216_pigtail,0.7022900763358778,0.7295708015267175
C234,0.7788461538461539,0.7625138461538462
C259,0.5140562248995983,0.4903050200803213
C278_PT,0.2796934865900383,0.3004595785440613
C294,0.5825426944971537,0.6698345351043643
C316,0.5196850393700787,0.5266746062992126
C334,0.19805825242718447,0.21786815533980583
C367,0.27766990291262134,0.27623766990291265
C368_PigTail,0.35236220472440943,0.35608385826771655
C485,0.7560975609756098,0.7625857410881801
C487_PigTail,0.4243119266055046,0.44677889908256885
C536,0.8396039603960396,0.8243825742574258
Cactus_tree,0.4491869918699187,0.48626443089430893
Carey,0.4836223506743738,0.4492820809248555
Carnival,0.4822834645669291,0.46598070866141733
Cool_water,0.25961538461538464,0.2801788461538462
Coyote,0.36926147704590817,0.3463942115768463
Darwi_Odrade,0.6895424836601307,0.7909405228758171
Daytripper,0.3935969868173258,0.399930131826742
Deadpool,0.13246753246753246,0.15044337662337662
Diamond_Joe,0.26411290322580644,0.27490766129032257
Emma_Frost,0.34959349593495936,0.37740772357723573
G3pdh1,0.47514910536779326,0.48846222664015904
Glass_onion_v2,0.3652007648183556,0.3636747609942639
Handy_dandy,0.38381742738589214,0.42026991701244815
Harvest,0.6190476190476191,0.6020737142857143
Heartland,0.50920245398773,0.5201955010224949
i-109,0.7099236641221374,0.7143108778625954
i-113,0.6640471512770137,0.6824300589390963
i-114,0.6126315789473684,0.6371204210526316
i-120_PigTail,0.631236442516269,0.6950804772234274
i-126,0.6518218623481782,0.6661868421052631
i-127,0.5010183299389002,0.5144279022403259
i-132,0.5882352941176471,0.6374691176470588
i-135,0.39122137404580154,0.40616965648854964
i129,0.29770992366412213,0.3151879770992366
Imagine,0.054820415879017016,0.053368241965973534
Jackstraw_PigTail,0.6007677543186181,0.607169481765835
Jam_session,0.43259557344064387,0.4096826961770624
Jericho,0.6771084337349398,0.6707660240963856
Jerry-Garcia,0.556640625,0.5807826171875
Jokerman,0.6589147286821705,0.6840826873385013
Jude,0.33397312859884837,0.38246103646833013
Julia,0.36472945891783565,0.35505310621242486
Kitty_Pryde,0.39096267190569745,0.40318703339882117
Maggie_mae,0.1706827309236948,0.17673714859437753
Majesty,0.42398286937901497,0.441044539614561
Miles_teg,0.3541147132169576,0.4438840399002494
Million_miles,0.5239179954441914,0.5236867881548976
Monkey,0.218568665377176,0.21972959381044488
Mozambique,0.5043859649122807,0.5298302631578947
Neil_Young,0.5296367112810707,0.5766803059273422
Nettie_Moore,0.6814345991561181,0.7143299578059071
Pam,0.5765595463137996,0.569960302457467
Percy,0.5050761421319797,0.4739291878172589
Pgm1,0.23495145631067962,0.25592757281553397
Piggies,0.4529058116232465,0.4914783567134269
Psylocke,0.62,0.6773279999999999
Queen_jane,0.34518828451882844,0.48820125523012553
Ramble,0.2151639344262295,0.21122950819672132
red_ant,0.3615819209039548,0.36048681732580035
Sam_Stonev2,0.6278409090909091,0.6506974431818182
Seastones,0.2862669245647969,0.2928504835589942
Sinv-25,0.30210325047801145,0.2905413001912046
Sinv12,0.03598484848484849,0.04652272727272727
Siona,0.4192872117400419,0.4361995807127883
Sol-11,0.7543859649122807,0.7476423001949318
Sol-18,0.4046692607003891,0.39449260700389105
Sol-20,0.6577946768060836,0.6696266159695817
Sol-42f,0.7409523809523809,0.7356611428571429
Sol-49,0.7494908350305499,0.7625973523421589
Sol-6,0.5009487666034156,0.5050628083491461
Sol-J1,0.5743801652892562,0.6000175619834711
Sol-M2,0.5996055226824457,0.6463449704142012
Sol-M3,0.592156862745098,0.5782350980392157
Starr,0.1902071563088512,0.19624915254237288
st_stephen,0.059670781893004114,0.062090740740740745
Sun_King,0.15346534653465346,0.1625381188118812
sunrise,0.5,0.5145986891385768
Sway,0.6237623762376238,0.623950693069307
Taxman,0.591796875,0.6146349609375
Tombstone_blues,0.35528942115768464,0.37686866267465075
Trouble,0.4908675799086758,0.49942077625570774
Tweedy,0.45154185022026433,0.4886030837004405
Walrus,0.3920792079207921,0.381679801980198
Weight,0.17805383022774326,0.1955824016563147
Wigwam,0.26756756756756755,0.28115054054054056
Workingman_Blues,0.4768611670020121,0.5984810865191147
Yellow_submarine,0.3561643835616438,0.37973600782778866
