Number,ID,Jericho,Jericho
1,467,176,176
2,468,158,158
3,469,158,158
4,470,**,**
5,471,158,158
6,472,176,180
7,473,176,178
8,474,158,180
9,475,158,176
10,476,158,176
11,477,158,176
12,478,**,**
13,479,176,176
14,480,158,178
15,481,158,180
16,482,158,176
17,483,**,**
18,484,158,176
19,485,158,176
20,486,158,176
21,487,158,180
22,488,**,**
23,489,**,**
24,490,**,**
25,491,**,**
26,492,158,176
27,493,158,176
28,494,158,158
29,495,176,176
30,496,176,176
31,497,176,178
32,498,178,180
33,499,158,180
34,500,158,176
35,501,158,178
36,502,162,162
37,503,176,180
38,504,**,**
39,505,158,176
40,506,158,180
41,507,158,176
42,508,158,180
43,509,176,178
44,510,158,176
45,511,158,158
46,512,158,176
47,513,176,178
48,514,**,**
49,515,**,**
50,516,176,176
51,517,158,176
52,518,176,178
53,519,176,176
54,520,158,180
55,521,158,180
56,522,176,178
57,523,176,176
58,524,158,180
59,525,158,176
60,526,**,**
61,527,**,**
62,528,158,176
63,529,158,176
64,530,176,176
65,531,158,176
66,532,176,180
67,533,176,180
68,534,158,180
69,535,176,180
70,536,**,**
71,537,**,**
72,538,**,**
73,539,**,**
74,540,158,178
75,541,**,**
76,542,158,158
77,543,158,158
78,544,158,176
79,545,158,176
80,546,158,176
81,547,158,180
82,548,176,178
83,549,**,**
84,550,**,**
85,551,158,158
86,552,176,180
87,553,**,**
88,554,**,**
89,555,158,158
90,556,158,158
91,557,158,176
92,558,176,178
93,559,176,180
94,560,158,176
95,561,**,**
96,562,**,**
