ID,Aat2,Acon1,Acon5,Acy1,Anna,Baez,Baron_harkonnen,Beatles,Bertha,Black_Crow,Blackbird,Blue_Jay,C1,C147,C204,C21,C216_pigtail,C234,C259,C278_PT,C294,C316,C334,C367,C368_PigTail,C485,C487_PigTail,C536,Cactus_tree,Carey,Carnival,Cool_water,Coyote,Darwi_Odrade,Daytripper,Deadpool,Diamond_Joe,Emma_Frost,G3pdh1,Glass_onion_v2,Handy_dandy,Harvest,Heartland,i-109,i-113,i-114,i-120_PigTail,i-126,i-127,i-132,i-135,i129,Imagine,Jackstraw_PigTail,Jam_session,Jericho,Jerry-Garcia,Jokerman,Jude,Julia,Kitty_Pryde,Maggie_mae,Majesty,Miles_teg,Million_miles,Monkey,Mozambique,Neil_Young,Nettie_Moore,Pam,Percy,Pgm1,Piggies,Psylocke,Queen_jane,Ramble,red_ant,Sam_Stonev2,Seastones,Sinv-25,Sinv12,Siona,Sol-11,Sol-18,Sol-20,Sol-42f,Sol-49,Sol-6,Sol-J1,Sol-M2,Sol-M3,Starr,st_stephen,Sun_King,sunrise,Sway,Taxman,Tombstone_blues,Trouble,Tweedy,Walrus,Weight,Wigwam,Workingman_Blues,Yellow_submarine
1,1,NA,NA,0,NA,1,0,0,0,1,0,1,0,1,NA,1,1,1,1,0,0,1,0,0,0,1,NA,1,NA,1,1,0,0,NA,1,NA,1,1,NA,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,NA,NA,NA,1,NA,NA,0,0,1,0,1,NA,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,NA,1,0,NA,1,1
2,0,NA,NA,0,0,1,NA,0,0,0,0,1,NA,0,NA,0,1,0,0,1,1,1,NA,0,1,1,NA,1,0,0,1,0,1,NA,1,NA,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,NA,NA,NA,0,NA,0,0,1,NA,0,0,NA,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,NA,1,0,NA,1,1
4,0,0,NA,0,1,1,0,0,0,1,0,1,NA,1,NA,0,1,1,0,1,0,0,0,0,0,0,NA,0,0,1,0,0,0,NA,0,NA,0,1,0,0,NA,1,1,1,1,NA,0,1,0,0,0,1,0,1,NA,NA,0,NA,1,1,0,0,NA,0,NA,NA,NA,1,NA,0,0,0,NA,NA,0,0,0,1,1,1,0,0,1,1,0,1,1,1,NA,1,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,1,NA
6,0,0,NA,0,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,1,0,1,0,0,NA,0,1,0,1,NA,1,0,NA,NA,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,1,0,NA,0,0,NA,1,0,NA,0,1,NA,NA,0,NA,1,NA,NA,NA,NA,NA,0,NA,0,NA,1,0,0,1,0,0,0,1,0,1,1,0,0,NA,0,1,NA,0,0,1,1,1,0,1,0,NA,0,NA,0,NA
7,0,0,NA,0,0,NA,NA,NA,1,NA,0,NA,0,0,1,0,1,1,NA,0,0,0,0,0,0,1,0,1,0,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,1,1,0,1,0,0,0,NA,0,NA,NA,0,NA,NA,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,0,1,NA,0,NA,0,0,NA,0,0,0,0,1,1,1,1,1,0,1,0,0,NA,0,0,1,1,NA,0,0,0,NA,NA,NA,1,NA
9,0,0,NA,0,NA,1,NA,0,0,0,1,1,0,1,NA,0,0,1,NA,1,1,NA,0,0,NA,1,NA,1,NA,1,0,0,0,NA,1,NA,NA,NA,0,1,0,1,0,1,1,NA,NA,1,NA,0,0,1,0,1,0,1,0,NA,NA,0,1,0,NA,NA,NA,0,NA,NA,0,1,NA,0,NA,NA,0,NA,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,NA,0,1,NA,NA,0,0,NA,0,0
10,0,0,NA,0,1,1,0,0,0,NA,0,0,NA,1,NA,0,NA,0,NA,NA,NA,NA,0,0,0,1,NA,1,0,1,0,0,0,NA,0,NA,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1,1,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,1,NA,1,NA,0,NA,NA,1,NA,0,0,0,NA,NA,0,NA,0,NA,1,0,NA,1,0,0,NA,0,NA,0,0,0,0,1,0,NA,1,NA
11,1,0,NA,0,NA,0,0,0,0,0,0,0,0,1,NA,0,1,1,0,0,0,NA,0,1,0,1,NA,1,NA,0,1,0,1,NA,1,NA,0,0,1,0,1,0,1,1,0,0,NA,1,1,1,0,NA,0,0,1,0,1,NA,1,0,0,1,NA,NA,NA,0,NA,0,1,0,0,0,NA,NA,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,NA,NA,0,1,0,0,0,0,0,NA,NA,1,0
12,1,0,NA,0,0,0,NA,0,1,0,0,0,1,0,NA,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,NA,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,NA,NA,1,0,0,1,1,1,1,0,0,NA,NA,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,NA,1,0
13,1,NA,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,NA,0,0,0,1,1,1,1,1,0,0,NA,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,NA,1,0,NA,1,1
14,1,NA,0,NA,1,1,NA,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,NA,0,NA,0,NA,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,NA,NA,NA,1,NA,0,1,1,0,1,0,NA,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,NA,1,0,NA,1,1
15,0,NA,1,1,1,1,NA,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,NA,0,NA,1,1,0,1,NA,0,NA,1,0,0,1,1,0,1,1,0,NA,1,NA,1,0,0,1,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,1,NA,1,1,1,1,1,0,NA,1,0,0,1,0,NA,0,0,1,1,1,1,NA,NA,0,1,NA,1,0,0,0,0,1,0,NA,0,0,0,NA,1,0
16,0,NA,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,NA,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,NA,0,NA,1,NA,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,NA,0,1
17,0,NA,1,0,0,NA,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,NA,1,NA,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,NA,0,NA,1,NA,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,NA,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0
18,0,NA,NA,0,1,1,0,0,0,1,0,1,NA,0,1,0,0,0,NA,0,0,0,1,0,1,0,0,1,0,0,0,0,0,NA,1,NA,0,0,NA,0,0,1,0,1,1,1,NA,1,NA,0,1,1,0,1,0,0,0,NA,0,1,0,0,NA,NA,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,0,1,0,0,0,0,NA,0,0,1,1,0,NA,0,1,0,0,0,0,0,1,NA,NA,0,0,NA,NA,1,1
19,0,NA,0,0,1,0,NA,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,NA,1,1,0,0,NA,0,NA,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,NA,0,0,0,0,NA,0,NA,0,NA,0,1,1,1,1,0,NA,0,1,1,1,0,1,0,0,1,0,1,1,NA,1,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,0,0
20,1,NA,0,0,NA,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,NA,1,0,1,0,NA,0,0,1,NA,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,NA,0,NA,0,NA,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,NA,0,0,1,1,0,0,0,1,0,1,0,0,NA,0,0,NA,1,0
21,1,NA,0,0,0,0,NA,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,NA,0,NA,0,NA,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,NA,NA,0,0,0,NA,0,NA,0,NA,1,1,1,1,0,NA,NA,1,1,1,1,1,0,0,0,1,0,0,0,NA,0,1,0,0,0,0,0,0,0,1,0,1,NA,1,0,NA,0,0
22,0,NA,NA,1,0,0,NA,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,NA,0,NA,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,NA,0,1,1,0,NA,NA,NA,0,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,NA,0,0,NA,0,0
23,0,NA,1,0,NA,0,NA,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,NA,0,0,0,1,1,0,NA,0,NA,0,1,1,1,1,1,1,1,1,1,0,1,NA,1,1,0,0,0,1,1,0,NA,NA,1,1,0,NA,NA,NA,0,NA,1,1,0,1,0,NA,NA,0,0,1,0,0,1,0,1,0,0,0,1,NA,1,1,1,1,0,0,0,0,0,1,1,0,NA,1,0,NA,0,0
24,0,NA,1,0,NA,1,NA,0,1,1,0,1,1,1,0,0,1,1,1,1,1,NA,0,0,1,1,NA,1,1,1,0,0,1,NA,0,NA,0,NA,1,1,0,0,1,1,1,1,NA,1,0,0,0,0,0,0,0,0,1,NA,0,1,0,1,NA,NA,NA,0,NA,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,NA,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,NA,1,0
25,0,NA,0,0,1,0,NA,0,1,1,0,0,1,0,1,0,0,0,NA,1,0,0,0,0,0,1,0,1,NA,0,0,NA,1,NA,0,NA,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,NA,NA,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,NA,0,1,NA,0,1,NA,0,NA,NA,0,1
27,0,NA,0,1,0,0,NA,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,NA,1,0,0,0,0,1,0,0,NA,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,NA,0,0,NA,1,1
29,0,NA,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,NA,1,0,1,1,0,0,NA,1,NA,0,0,1,0,0,1,0,0,0,1,0,1,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,NA,0,1,0,NA,0,NA,0,1,0,1,0,0,0,0,0,0,0,1,NA,1,0,0,0,1,0,1,0,0,0,1,0,0,NA,0,1,NA,NA,0
